Image ID,Creator,Short Title,Created:from,Created:to,Uploaded,Image type,Technique,Language,Distribution at time of creation,(Digital) source,Source ID (if applicable),Country of origin,Exact location,Holding institution,Collection,Other copyright holders,Related images,ImgDB ID,Metadata editor
21,unknown,A Plot with Powder,1605-01-01,1605-12-31,02.02.2014,1,1,5,,http://www.bpi1700.org.uk/jsp/image.jsp?image=48812,Order Ref.: AN48812001,GBR,England,British Museum London,British Printed Images Database,British Museum London,A similar print is published in George: English Political Caricatures to 1792. A study of opinion and propaganda / Oxford 1959 / PLATE 3.,imgs/1605_GBR__21.jpg,monika
22,L. Tocque,Charles Edward Stuart,1747-01-01,1747-12-31,02.02.2014,1,1,1,,,,GBR,Edinburgh,National Library of Scotland,Jacobite Prints and Broadsides Online (NLS),National Library of Scotland,,imgs/1747_GBR__22.jpg,monika
23,unknown,The Duke of York and Prince Charles,1735-01-01,1735-12-31,02.02.2014,12,1,1,,,,GBR,,National Library of Scotland,Jacobite Prints and Broadsides Online (NLS),National Library of Scotland,,imgs/1735_GBR__23.jpg,monika
24,anonymus,Burning heretics,1560-01-01,1570-12-31,02.03.2014,1,1,9,,Mustafin / Licevoj svod,,RUS,,,,,,imgs/1560_RUS__24.jpg,m.griesse
25,Salomon Savery,De Weegschaal,1618-01-01,1618-12-31,02.03.2014,1,1,3,,http://www.geheugenvannederland.nl/?/nl/items/RIJK04:RP-P-19,Unknown,NLD,Unknown,Rijksmuseum Amsterdam,Rijksmuseum Amsterdam,Rijksmuseum Amsterdam,,imgs/1618_NLD__25.jpg,monika
29,anonymous,Battle on the ice,1560-01-01,1580-12-31,2/27/2014,1,1,9,none,Mustafin / Licevoj svod,,RUS,Court of Muscovy (Ivan IV),Kremlin,,,,imgs/1560_RUS__29.jpg,m.griesse
30,unknown,Map of Europe 1700 Northwest,01.01.2014,12/31/2014,3/21/2014,13,1,5,,,,USA,,,,,,imgs/2014_USA__30.jpg,monika
31,unknown,Map of Europe 1600 Northwest,01.01.2014,12/31/2014,3/21/2014,13,1,5,,,,USA,,,,,,imgs/2014_USA__31.jpg,monika
32,unknown,The Solemn Mock Procession of the Pope / Cardinalls / Jesuits /,1680-01-01,1680-12-31,3/21/2014,12,1,5,sold in London bookshop / published by Samuel Lee & Newman,http://www.britishmuseum.org/research/collection_online/coll,,GBR,engraving after Francis Barlow,British Museum London,British Museum London,British Museum London,,imgs/1680_GBR__32.jpg,monika
33,George Brickham the Younger,A Skit on Britain,1740-01-01,1740-12-31,3/21/2014,12,1,1,London / England,http://www.britishmuseum.org/research/collection_online/coll,,GBR,,British Museum London,British Museum London,British Museum London,,imgs/1740_GBR__33.jpg,monika
34,Great Britain,Royal Coat of Arms after the 1707 Union with Scotland,1707-01-01,1707-12-31,3/21/2014,1,1,5,,www.wikimedia.com,,GBR,Great Britain,,,,,imgs/1707_GBR__34.png,monika
35,England,Royal Coat of Arms 17th century,1600-01-01,1707-12-31,3/21/2014,13,1,5,,www.wikimedia.com,,GBR,England,,,,,imgs/1600_GBR__35.png,monika
36,Sanson,Map of Europe,1700-01-01,1800-12-31,3/21/2014,12,1,6,,,,FRA,France,,,,,imgs/1700_FRA__36.jpg,monika
37,Ploetz Historischer Weltatlas,Europa im Zeitalter des Absolutismus 1740,01.01.2013,12/31/2013,3/21/2014,13,1,2,,,,DEU,Weltatlas,,,,,imgs/2013_DEU__37.jpg,monika
38,Ploetz Historischer Weltatlas / Monika Barget,Map of the Jacobite Rising 1745,01.01.2013,12/31/2013,3/21/2014,13,1,2,,,,DEU,,,,,,imgs/2013_DEU__38.jpg,monika
39,Ploetz Historischer Weltatlas / Monika Barget,Map of the Jacobite Rising 1715,01.01.2013,12/31/2013,3/21/2014,13,1,2,,,,DEU,,,,,,imgs/2013_DEU__39.jpg,monika
40,Ploetz Historischer Weltatlas / Monika Barget,Map of the Glorious Revolution 1688,01.01.2013,12/31/2013,3/21/2014,13,1,2,,,,DEU,,,,,,imgs/2013_DEU__40.jpg,monika
41,Ploetz Historischer Weltatlas / Monika Barget,Map of Monmouth's Rebellion 1685,01.01.2013,12/31/2013,3/21/2014,13,1,2,,,,DEU,,,,,,imgs/2013_DEU__41.jpg,monika
42,Routledge Atlas of British History,Map of the Pilgrimage of Grace,01.01.2010,12/31/2010,3/21/2014,1,1,5,,,,GBR,,,,,,imgs/2010_GBR__42.jpg,monika
43,unknown,Historic Counties of England and Wales,1700-01-01,1800-12-31,3/21/2014,1,1,5,,www.wikimedia.com,,GBR,,,,,,imgs/1700_GBR__43.jpg,monika
44,Routledge Atlas of British History,Maps of the Jacobite Rebellions,01.01.2010,12/31/2010,3/21/2014,1,1,5,,,,GBR,,,,,,imgs/2010_GBR__44.jpg,monika
45,Routledge Atlas of British History,Map of England 1500 - 1600,01.01.2010,12/31/2010,3/21/2014,1,1,5,,,,GBR,,,,,,imgs/2010_GBR__45.jpg,monika
46,Daniel Szechi (publ.),Areas affected by the Jacobite risings in 1715,01.01.2009,12/31/2009,3/21/2014,1,1,5,,,,GBR,illustration in Daniel Szechi's 1715,,,,,imgs/2009_GBR__46.jpg,monika
47,Malte Griesse,1626 Upper Austrian Peasant War_aus Krebs-Lit.Rezeption,1626-01-01,1626-12-31,3/21/2014,1,1,1,,,,AFG,,,,,,imgs/1626_AFG__47.jpg,monika
48,Malte Griesse,1630s Croquants / Nu-Pieds,1630-01-01,1630-12-31,3/21/2014,1,1,1,,,,AFG,,,,,,imgs/1630_AFG__48.jpg,monika
49,Malte Griesse,1640-52 Catalan revolt (2),1640-01-01,1640-12-31,3/21/2014,1,1,1,,,,AFG,,,,,,imgs/1640_AFG__49.png,monika
50,Malte Griesse,1640-52 Catalan revolt,1640-01-01,1640-12-31,3/21/2014,1,1,1,,,,AFG,,,,,,imgs/1640_AFG__50.png,monika
51,Malte Griesse,1640-68 War of Portuguese Independence,1640-01-01,1640-12-31,3/21/2014,1,1,1,,,,AFG,,,,,,imgs/1640_AFG__51.jpg,monika
52,Malte Griesse,1642-49 English Civil Wars,1642-01-01,1649-12-31,3/21/2014,1,1,1,,,,AFG,,,,,,imgs/1642_AFG__52.jpg,monika
53,Malte Griesse,1648-53 Fronde in France,1648-01-01,1653-12-31,3/21/2014,1,1,1,,,,AFG,,,,,,imgs/1648_AFG__53.jpg,monika
54,Malte Griesse,1648-57 Khmel'nyc'kyi revolt,1648-01-01,1657-12-31,3/21/2014,1,1,1,,,,AFG,,,,,,imgs/1648_AFG__54.gif,monika
55,Malte Griesse,1648-62 Muscovite town rebellions,1648-01-01,1662-12-31,3/21/2014,1,1,1,,,,AFG,,,,,,imgs/1648_AFG__55.jpg,monika
56,Malte Griesse,1653 Swiss Peasant War,1653-01-01,1653-12-31,3/21/2014,1,1,1,,,,AFG,,,,,,imgs/1653_AFG__56.png,monika
57,Malte Griesse,1667-1671 Razin uprising / Muscovy,1667-01-01,1671-12-31,3/21/2014,1,1,1,,,,AFG,,,,,,imgs/1667_AFG__57.jpg,monika
58,Malte Griesse,Europe_Map Revolts marked / but incomplete_ Mid 17th century,01.01.2014,12/31/2014,3/21/2014,1,1,1,,,,AFG,,,,,,imgs/2014_AFG__58.jpg,monika
59,Luke Sullivan / after William Hogarth,March of the Guards to Scotland,1750-01-01,1761-12-31,3/21/2014,12,1,5,Great Britain,,,GBR,,British Museum London,British Museum London,British Museum London,,imgs/1750_GBR__59.jpg,monika
60,unknown,Execution of the Gunpowder plotters,1600-01-01,1700-12-31,3/22/2014,13,1,1,,,,AFG,,,,,,imgs/1600_AFG__60.jpg,monika
61,unknown,Lord Lovat counting off the clans,1747-01-01,1747-12-31,3/22/2014,12,1,5,,,,GBR,Etching after William Hogarth,,,,,imgs/1747_GBR__61.jpg,monika
62,P. Schenck,William of Orange attacks Louis XIV and James II,1689-01-01,1689-12-31,3/22/2014,1,1,13,,,,NLD,,,,,,imgs/1689_NLD__62.jpg,monika
63,unknown,Beheading of the rebellious lords,1746-01-01,1746-12-31,3/22/2014,12,1,3,Great Britain,Copy photo no. V 41797, System b12013262 / Record 43513i,GBR,,,,Wellcome Library,Harvard University,imgs/1746_GBR__63.jpg,monika
64,unknown,Two men apprehending Lord Edward Fitzgerald,1789-01-01,1789-12-31,3/22/2014,12,1,13,Great Britain,http://search.wellcomelibrary.org/iii/encore/record/C__Rb120,Wellcome Library no. 42809i,AFG,Great Britain,,Wellcome Library,Wellcome Library,,imgs/1789_AFG__64.jpg,monika
65,unknown,Satire on the Scots,1745-01-01,1800-12-31,3/22/2014,12,1,5,,,,GBR,Great Britain,Wellcome Library,Wellcome Library,Wellcome Library,,imgs/1745_GBR__65.jpg,monika
66,unknown,The Tree of Sins, representing the life of the base / 'natural' man,1771-01-01,3/22/2014 3:11,1,1,5,Great Britain,http://search.wellcomelibrary.org/iii/encore/record/C__Rb118,Wellcome Library no. 26769i,GBR,after J. Bakewell / Great Britain / printed by C. Bowles,Wellcome Library,,,,imgs/1771_GBR__66.jpg,monika
67,J. Duplessi-Bertaux,Execution of the rebels in Naples and Sicily,1647-01-01,1647-12-31,3/22/2014,12,1,6,France / Great Britain,http://search.wellcomelibrary.org/iii/encore/record/C__Rb120,,FRA,,Wellcome Library,Wellcome Library,Wellcome Library,,imgs/1647_FRA__67.jpg,monika
68,J. Tinney,Men gather at an execution,1741-01-01,1741-12-31,3/22/2014,12,1,13,Great Britain,Wellcome Collection,,GBR,,Wellcome Library,Wellcome Library,Wellcome Library,Wellcome Library,imgs/1741_GBR__68.jpg,monika
69,unknown,Daniel Defoe in the pillory,1703-01-01,1704-12-31,3/22/2014,12,1,6,Great Britain,http://search.wellcomelibrary.org/iii/encore/record/C__Rb120,,GBR,Great Britain and / or France?,Wellcome Library London,Wellcome Library London,Wellcome Library London,,imgs/1703_GBR__69.jpg,monika
70,unknown,Titus Oates standing in the pillory,1680-01-01,1700-12-31,3/22/2014,12,1,5,Great Britain,http://search.wellcomelibrary.org/iii/encore/record/C__Rb120,Wellcome Library no. 43302i,GBR,,,,,,imgs/1680_GBR__70.jpg,monika
71,unknown,Titus Oates in the pillory surrounded by those executed,1685-01-01,1685-12-31,3/22/2014,12,1,5,,,,GBR,,Wellcome Library London,Wellcome Library London,Wellcome Library London,Titus Oates standing in the pillory surrounded by medaillons of people executed as a result of the Popish Plot in 1678. Etching with engraving.,imgs/1685_GBR__71.jpg,monika
72,unknown,The execution of Father Garnet by hanging,1600-01-01,1700-12-31,3/22/2014,12,1,13,Great Britain,,,GBR,Great Britain,Wellcome Library London,Wellcome Library London,Wellcome Library London,,imgs/1600_GBR__72.jpg,monika
73,Claes (Nicolaes) Jansz Visscher,Execution of the eight conspirators in 1606,1606-01-01,1606-12-31,3/22/2014,12,1,13,,,,GBR,,Wellcome Library London,Wellcome Library London,Wellcome Library London,,imgs/1606_GBR__73.jpg,monika
74,unknown,Dutch satire against European rulers in general,1700-01-01,1800-12-31,3/22/2014,12,1,13,,,,NLD,,,,,,imgs/1700_NLD__74.jpg,monika
75,unknown,James Aitken / John the Painter,1770-01-01,1800-12-31,3/22/2014,12,1,5,,www.executedtoday.com,,GBR,,,,,,imgs/1770_GBR__75.jpg,monika
77,unknown,A woman representing a map of Scotland,1700-01-01,1800-12-31,3/22/2014,12,1,5,,,,GBR,,Wellcome Library London,Wellcome Library London,Wellcome Library London,,imgs/1700_GBR__77.jpg,monika
78,unknown,Beheading of the Rebel Lords on Great Tower Hill 1746,1746-01-01,1748-12-31,3/22/2014,12,1,5,,,,GBR,Great Britain,,,,,imgs/1746_GBR__78.jpg,monika
79,unknown,Calve's Head Club,1650-01-01,1750-12-31,3/22/2014,12,1,5,,,,GBR,,,,,,imgs/1650_GBR__79.jpg,monika
80,unknown,English Atlas of Geography 1733,1733-01-01,1733-12-31,3/22/2014,1,1,5,,,,GBR,,,,,,imgs/1733_GBR__80.jpg,monika
81,unknown,Prince Charles at the Battle of Culloden,1800-01-01,12/31/1900,3/22/2014,2,1,1,Great Britain,,NAM 2456386b,GBR,,National Army Museum London,,,,imgs/1800_GBR__81.jpg,monika
82,Paul Delaroche,The Execution of Jane Grey,1800-01-01,12/31/1900,3/22/2014,2,1,13,,,,GBR,,,,,,imgs/1800_GBR__82.jpg,monika
83,William Ewart Lockhart,Scene from the Rebellion,1800-01-01,12/31/1900,3/22/2014,2,1,13,Great Britain,www.bbc.co.uk\arts,,GBR,Great Britain,Dumfries and Galloway Council (Annan Museum),Dumfries and Galloway Council (Annan Museum),Bridgeman Art Library \ BBC Arts,,imgs/1800_GBR__83.jpg,monika
84,David Morier,The Battle of Culloden,1800-01-01,12/31/1900,3/22/2014,2,1,13,,,,GBR,,,,,,imgs/1800_GBR__84.jpg,monika
85,Luke Sullivan / after William Hogarth,The March of the Guards towards Scotland in the year 1745,1761-01-01,1761-12-31,3/22/2014,12,1,5,Great Britain,http://www.nam.ac.uk/online-collection/detail.php?acc=1960-05-1-1,NAM. 1960-05-1-1,GBR,London / Great Britain,National Army Museum London,National Army Museum London,National Army Museum London,,imgs/1761_GBR__85.jpg,monika
86,Romeyn de Hoogh,King William III at The Battle of the Boyne,1690-01-01,1690-12-31,3/22/2014,12,1,13,Great Britain,,NAM Image Number 71343,GBR,Netherlands,National Army Museum London,National Army Museum London,National Army Museum London,,imgs/1690_GBR__86.jpg,monika
87,Jan Wyck,The Battle of the Boyne 12 July 1690,1690-01-01,1690-12-31,3/22/2014,2,1,13,Great Britain,http://www.nam.ac.uk/online-collection/detail.php?acc=1975-08-50-1,NAM Image Number 1005096,GBR,Netherlands,National Army Museum London,National Army Museum London,National Army Museum London,,imgs/1690_GBR__87.jpg,monika
88,W Baillie after Netcher and Wyke,James Duke of Monmouth Mortuus,1774-01-01,1774-12-31,3/22/2014,12,1,1,Great Britain,,NAM Image Number 8570,AFG,Great Britain,National Army Museum London,National Army Museum London,National Army Museum London,,imgs/1774_AFG__88.jpg,monika
89,H. Terasson after Louis du Guernier,The March of the King's Forces to Perth 1715,1715-01-01,1715-12-31,3/22/2014,12,1,13,Great Britain,http://www.nam.ac.uk/online-collection/detail.php?acc=1971-02-33-152-1,NAM Image Number 13882,GBR,Great Britain and / or France?,National Army Museum London,National Army Museum London,National Army Museum London,,imgs/1715_GBR__89.jpg,monika
90,unknown,A View of the Battle of Culloden,1750-01-01,1750-12-31,3/22/2014,12,1,13,Great Britain,,NAM Image Number 1017648,GBR,Great Britain,National Army Museum London,National Army Museum London,National Army Museum London,,imgs/1750_GBR__90.jpg,monika
91,Luke Sullivan after Augustin Heckel,Battle of Culloden,1746-01-01,1746-12-31,3/22/2014,12,1,13,Great Britain,,NAM Image Number 13691,GBR,Great Britain,National Army Museum London,National Army Museum London,National Army Museum London,,imgs/1746_GBR__91.jpg,monika
92,G. Williams after J. Hamilton,Perspektive View of the Battle of Drunmossie Moor,1746-01-01,1746-12-31,3/22/2014,12,1,13,,,,GBR,,National Army Museum London,National Army Museum London,National Army Museum London,,imgs/1746_GBR__92.jpg,monika
93,unknown,Lovat's Ghost on Pilgrimage,1747-01-01,1747-12-31,3/22/2014,12,1,5,Great Britain,,,GBR,Great Britain,National Army Museum London,National Army Museum London,National Army Museum London,,imgs/1747_GBR__93.jpg,monika
94,David Morier,William Augustus Duke of Cumberland,1750-01-01,1850-12-31,3/22/2014,2,1,13,,,NAM Image Number 46193,GBR,,,National Army Museum London,National Army Museum London,,imgs/1750_GBR__94.jpg,monika
95,Domenico Corvi,Portrait of Henry Stuart Cardinal York,1760-01-01,1800-12-31,3/22/2014,2,1,13,,,,ITA,,,,,,imgs/1760_ITA__95.jpg,monika
96,unknown,Miniature of James Francis Edward Stuart,1692-01-01,1692-12-31,3/22/2014,2,1,13,,,,GBR,France,,,,,imgs/1692_GBR__96.jpg,monika
97,John Worsdale,The Harlequin Portrait of Charles Edward Stuart,1745-01-01,1745-12-31,3/22/2014,2,1,13,,,,GBR,,,,,,imgs/1745_GBR__97.jpg,monika
98,Maurice Quentin de la Tour,Charles Edward Stuart,1747-01-01,1747-12-31,3/22/2014,2,1,13,,,,GBR,France,,,,,imgs/1747_GBR__98.jpg,monika
99,Louis Tocque,Charles Edward Stuart,1748-01-01,1748-12-31,3/22/2014,2,1,13,,,,GBR,France,Private Collection,private,Bridgeman Art Library,,imgs/1748_GBR__99.jpg,monika
100,unknown,The Coronation of William of Orange,1689-01-01,1700-12-31,3/22/2014,12,1,13,,,,GBR,,,,Bridgeman Art Library,,imgs/1689_GBR__100.jpg,monika
101,unknown,William III in Roman Costume,1689-01-01,1705-12-31,3/22/2014,12,1,1,Great Britain,www.bpi1700.org,Order Ref.: AN140627001,GBR,Great Britain,British Museum London,The Trustees of The British Museum,The Trustees of The British Museum,,imgs/1689_GBR__101.jpg,monika
102,W. Wilde (printer),Spanish Armada / Gunpowder Plot and Glorious Revolution,1689-01-01,1689-12-31,3/22/2014,12,5,5,,Eighteenth Century Books Online,,GBR,London / Great Britain,,,Eighteenth Century Collection Online / Cengage Learning,,imgs/1689_GBR__102.gif,monika
103,unknown,William Joy as the English Sampson,1699-01-01,1699-12-31,3/22/2014,12,1,1,Great Britain,,,GBR,Great Britain,,The Trustees of the British Museum,The Trustees of The British Museum,,imgs/1699_GBR__103.jpg,monika
104,unknown,Maria Tudor,1554-01-01,1554-12-31,3/22/2014,12,4,7,Italy,,,ITA,Italy,,,Bridgeman Art Library,,imgs/1554_ITA__104.jpg,monika
105,Joseph Priestley (data and original draft),Chart of the Revolutions of Empire,1770-01-01,1770-12-31,3/22/2014,1,5,5,The chart was widely circulated in Britain and North America as Priestley's original description of 1770 was reprinted throughout the 18th century. In 1798 / the chart was used as a book illustration in Allen's History of England.,Google Books: https://play.google.com/books/reader?id=tgRbAAAAcAAJ&printsec=frontcover&output=reader&hl=en_GB&pg=GBS.PA9,engraved for Allen's History of England,GBR,London,several libraries across the UK,,,,imgs/1770_GBR__105.jpg,monika
106,unknown,The Royal Oak of Britain,1649-01-01,1649-12-31,3/22/2014,12,1,5,Great Britain,http://www.welib.de,,GBR,Great Britain,British Museum London,The Trustees of the British Museum,Warburg Electronic Library (WEL),M. W. Jones: A Cartoon History ofMonarchy. London 1978 / Abb. 3,imgs/1649_GBR__106.jpg,monika
107,unknown,The Beheading of King Charles I,1650-01-01,1650-12-31,3/22/2014,12,1,13,,,,GBR,,,,Bridgeman Art Library,,imgs/1650_GBR__107.jpg,monika
108,unknown,Flucht Jakobs II.,1689-01-01,1689-12-31,3/22/2014,1,1,1,,,,AFG,,,,Warburg Electronic Library (WEL),,imgs/1689_AFG__108.jpg,monika
109,unknown,The Dreadful Apparition: the Pope Haunted with Ghosts,1682-01-01,1682-12-31,3/22/2014,12,1,5,Great Britain,,,GBR,Great Britain,,,Bridgeman Art Library,,imgs/1682_GBR__109.gif,monika
110,William Hogarth,March of the Guard to Finchley,1750-01-01,1750-12-31,3/22/2014,2,1,13,Europe,www.bbc.co.uk\arts,,GBR,Great Britain,The Foundling Museum,The Foundling Museum,Bridgeman Art Library \ BBC Arts,,imgs/1750_GBR__110.jpg,monika
111,unknown,Privision for the Scotch Convent (Omnia Vincit Amor),1760-01-01,1763-12-31,3/22/2014,12,5,5,,,,GBR,,from: TheBritishAntidote_OmniaVincitAmor_Satireblatt_Seite49,,,,imgs/1760_GBR__111.jpg,monika
112,unknown,The Caledonian Pacification,1760-01-01,1763-12-31,3/22/2014,12,4,5,,,,GBR,,from: The British Antidote 1765,,,,imgs/1760_GBR__112.jpg,monika
113,unknown,The execution on Tower Hill of the Earl of Derwentwater,1716-01-01,1716-12-31,3/22/2014,12,1,1,Great Britain,,,GBR,Great Britain,,,,,imgs/1716_GBR__113.jpg,monika
114,unknown,John Stuart Earl of Bute,1760-01-01,1780-12-31,3/22/2014,2,1,13,,,,GBR,,,,,,imgs/1760_GBR__114.jpg,monika
115,unknown,St. Bartholemew,1650-01-01,1750-12-31,3/22/2014,2,1,13,,www.wikimedia.com,,ITA,,,,,,imgs/1650_ITA__115.jpg,monika
116,unknown,Thomas Venner Uprising 1661,1661-01-01,1670-12-31,3/23/2014,12,1,5,Great Britain,,,AFG,Great Britain,,,Bridgeman Art Library,,imgs/1661_AFG__116.jpg,monika
117,Barlow,Dutch rebellion,1673-01-01,1673-12-31,3/23/2014,12,1,5,Great Britain,http://www.bpi1700.org.uk/jsp/image.jsp?image=118573,Order Ref.: AN118573001,GBR,Great Britain,British Museum London,The Trustees of The British Museum,The Trustees of The British Museum,,imgs/1673_GBR__117.jpg,monika
118,unknown,Several of the rebels hanged upon a tree,1685-01-01,1700-12-31,3/23/2014,12,1,5,Great Britain,www.bridgemanart.com,Image ID: XJF 143486,GBR,Great Britain,Private Collection,private,Bridgeman Art Library,,imgs/1685_GBR__118.jpg,monika
119,unknown,Ferguson preaching to the rebels,1685-01-01,1700-12-31,3/23/2014,12,4,5,Great Britain,www.bridgemanart.com,Image ID: XJF 143485,GBR,Great Britain,Private Collection,private,Bridgeman Art Library,,imgs/1685_GBR__119.jpg,monika
120,unknown,Duke of Monmouth,1680-01-01,1700-12-31,3/23/2014,12,1,5,Great Britain,www.bridgemanart.com,XJF 129895,GBR,Great Britain,Private Collection,private,Bridgeman Art Library,,imgs/1680_GBR__120.jpg,monika
121,James Scott Duke of Monmouth,Letter by James Scott / Duke of Monmouth,1685-01-01,1685-12-31,3/23/2014,13,4,5,Great Britain,www.bridgemanart.com,Image ID: KDC 441049,GBR,Great Britain,Private Collection,British Museum London,Bridgeman Art Library,facsimile from 'Facsimiles of Royal / Historical & Literary Autographs in the Department of Manuscripts' / British Museum / 4th series / printed for the Trustees / 1898,imgs/1685_GBR__121.jpg,monika
122,unknown,Aftermath of Monmouth's Rebellion,1685-01-01,1700-12-31,3/23/2014,12,4,5,Great Britain,www.bridgemanart.com,Image ID: XJF 115655,GBR,Great Britain,Private Collection,private,Bridgeman Art Library,,imgs/1685_GBR__122.jpg,monika
123,unknown,The Battle at Bridgwater / 6th July 1685,1685-01-01,1700-12-31,3/23/2014,12,4,5,Great Britain,www.bridgemanart.com,Image ID: XJF 143480,GBR,Great Britain,Private Collection,private,Bridgeman Art Library,,imgs/1685_GBR__123.jpg,monika
124,unknown,The Beheading of the Duke of Monmouth at Tower Hill,1685-01-01,1700-12-31,3/23/2014,12,4,5,Great Britain,www.bridgemanart.com,Image ID: XJF 143483,GBR,Great Britain,Private Collection,private,Bridgeman Art Library,,imgs/1685_GBR__124.jpg,monika
125,unknown,The Country's Complaint Recounting the Sad Events,1685-01-01,1685-12-31,3/23/2014,12,4,5,Great Britain,www.bridgemanart.com,Image ID: XJF 153371,GBR,Great Britain,Private Collection,private,Bridgeman Art Library,from 'Mercurius Rusticus' / published in 1685,imgs/1685_GBR__125.jpg,monika
126,unknown,The Rout of 1000 of the Rebels at the Battle of Sedgemoor,1685-01-01,1700-12-31,3/23/2014,12,4,5,Great Britain,www.bridgemanart.com,Image ID: XJF 143479,GBR,Great Britain,Private Collection,private,Bridgeman Art Library,,imgs/1685_GBR__126.jpg,monika
127,unknown,The Flight of Monmouth,1800-01-01,12/31/1900,3/23/2014,12,4,5,Great Britain,www.bridgemanart.com,Image ID: XJF 143489,GBR,Great Britain,Private Collection,private,Bridgeman Art Library,,imgs/1800_GBR__127.jpg,monika
128,unknown,The Defeat of the Rebels at the Battle of Sedgemoor,1685-01-01,1700-12-31,3/23/2014,12,4,5,Great Britain,www.bridgemanart.com,Image ID: XJF 143482,GBR,Great Britain,Private Collection,private,Bridgeman Art Library,,imgs/1685_GBR__128.jpg,monika
129,unknown,Beheading of the Rebel Lords on Great Tower Hill 1746,1746-01-01,1746-12-31,3/23/2014,12,1,5,Great Britain,,,GBR,Great Britain,National Army Museum London,,,,imgs/1746_GBR__129.jpg,monika
130,Stefan Lochner,Altarflügel mit den Apostelmartyrien,1400-01-01,1500-12-31,3/23/2014,2,1,13,Germany,http://www.staedelmuseum.de/sm/,Inv. Nr. 821 - 832,DEU,Cologne / Germany,Städel Museum Frankfurt am Main,Städel Museum Frankfurt am Main,Städel Museum Frankfurt am Main,,imgs/1400_DEU__130.jpg,monika
131,unknown,Kurtzer bericht / wie des treves in Niederlandt Schwester,1620-01-01,1621-12-31,3/23/2014,12,1,2,Germany,,,DEU,Germany,Bayrische Staatsbibliothek München,,Weitere Ausgaben: Deutsche illustrierte Flugblätter des 16. und 17. Jahrhunderts . Hrsg. von Wolfgang Harms. Bd. 2: Die Sammlung der Herzog August Bibliothek in Wolfenbüttel 2: Historica. Hrsg von Wolfgang Harms mit Michael Schilling und Andreas ,,imgs/1620_DEU__131.jpeg,monika
132,unknown,Außführliche Vorstellung und Abbildung,1672-01-01,1672-12-31,3/23/2014,12,1,2,Germany,Prometheus Bildarchiv,http://prometheus.uni-koeln.de/pandora/image/show/stabi-4a54,DEU,Nürnberg / Germany,Bayrische Staatsbibliothek München,Bayrische Staatsbibliothek München,Weitere Ausgaben: Deutsche illustrierte Flugblätter des 16. und 17. Jahrhunderts . Hrsg. von Wolfgang Harms. Bd. 2: Die Sammlung der Herzog August Bibliothek in Wolfenbüttel 2: Historica. Hrsg von Wolfgang Harms mit Michael Schilling und Andreas ,,imgs/1672_DEU__132.jpeg,monika
133,Christoph Greiff,Thumolt mit dem Paßauischen kriegsvolckh,1611-01-01,1611-12-31,3/23/2014,12,1,2,Germany,Prometheus Bildarchiv,http://prometheus.uni-koeln.de/pandora/image/show/stabi-72b7,DEU,Germany,Bayrische Staatsbibliothek München,,Paas / John Roger: The German Political Broadsheet (1600 - 1700). Vol. 1: 1600 - 1615. Wiesbaden. 1985. P-161 und PL-27,,imgs/1611_DEU__133.jpeg,monika
134,Peter Paul Rubens,Die Weisheit hält die bewaffnete Rebellion vom Thron,1618-01-01,1650-12-31,3/23/2014,2,1,13,,Prometheus Bildarchiv,http://prometheus.uni-koeln.de/pandora/image/show/heidicon_k,BEL,,Musées Royaux des Beaux-Arts de Belgique <Brüssel>,,,Quelldatenbank: HeidICON - Europäische Kunstgeschichte / Ruprecht-Karls-Universität Heidelberg / Universitätsbibliothek / Ruprecht-Karls-Universität Heidelberg,imgs/1618_BEL__134.jpeg,monika
135,Theodor de Bry,Spanier schlagen Aufstand der afrikanischen Sklaven nieder,1595-01-01,1595-12-31,3/23/2014,12,1,13,Europe,Prometheus Bildarchiv,http://prometheus.uni-koeln.de/pandora/image/show/bpk-57145f,DEU,,Staatliche Museen zu Berlin,Staatliche Museen zu Berlin,bpk / Kunstbibliothek / SMB / Knud Petersen,Bildnachweis: Bry / Theodor de / Americae / Teil V / 1595,imgs/1595_DEU__135.jpeg,monika
136,Adrian Schoonebeeck,Die Flucht Jacobs II. von England,1688-01-01,1705-12-31,3/23/2014,12,1,13,Europe,http://www.welib.de,H. 26 / S. 30,NLD,Netherlands,,,Warburg Electronic Library (WEL),,imgs/1688_NLD__136.jpg,monika
137,unknown,Babylonischer Turmbau anläßlich des Einzugs von Heinrich IV.,1595-01-01,1595-12-31,3/23/2014,12,1,13,,,,FRA,France,Warburg Electronic Library (WEL),,Gabriel Mourey: Le livre des fêtes françaises / Paris 1930 / 63,,imgs/1595_FRA__137.jpg,monika
138,unknown,Allegorie auf Gustav Adolf als Befreier Deutschlands,1640-01-01,1650-12-31,3/23/2014,2,1,13,,http://www.welib.de/rg/index.jsp,http://www.welib.de/rg/index.jsp,SWE,,Stockholm / Kgl. Kunstslg.,,Hubert Glaser / Wittelsbach und Bayern (Kat.) / 1980 / II/2 / Nr. 635,,imgs/1640_SWE__138.jpg,monika
139,Samuel Wale,Robert Kett (d.1549) under the Oak of the Reformation,1750-01-01,1786-12-31,3/23/2014,2,1,13,Great Britain,www.bridgemanart.com,Image ID: NCM 95477,GBR,North England,Norwich Castle Museum and Art Gallery,Norwich Castle Museum and Art Gallery,Bridgeman Art Library,,imgs/1750_GBR__139.jpg,monika
