Image ID,Creator,Short Title,Created:from,Created:to,Uploaded,Image type,Technique,Language,Distribution at time of creation,(Digital) source,Source ID (if applicable),Country of origin,Exact location,Holding institution,Collection,Other copyright holders,Related images,ImgDB ID,Metadata editor
1256,Unknown,Jan Hus's burning,1563-01-01,1563-12-31,2/23/2016,1,1,1,QGA936496,https://www.bridgemanimages.com/fr/asset/936496//jan-hus-1372-1415-czech-catholic-priest-philosopher-reformer-and-master-at-charles-university-in-prague-on-the-pyre,,CZE,Czech republic,private collection,,,,imgs/1563_CZE__1256.jpg,gaumy
1257,german school,jerome of Praga,1500-01-01,1600-12-31,2/23/2016,1,1,2,XIR1272762,https://www.bridgemanimages.com/fr/asset/1272762/german-school-16th-century/jerome-of-prague-engraving,,FRA,France,Bibliothèque nationale de France,,,,imgs/1500_FRA__1257.jpg,gaumy
1258,Unknown,burning of Jan Hus,1526-01-01,1526-12-31,2/23/2016,1,5,2,HIS384414,https://www.bridgemanimages.com/fr/asset/384414/breu-joerg-the-elder-c-1475-1537/the-burning-of-jan-hus-from-chronik-des-konstanzer-konzils-chronicle-of-the-council-of-constance-by-ulrich-von-richenth,,DEU,Augsburg,deutsches historisches museum,,,,imgs/1526_DEU__1258.jpg,gaumy
1259,german school,Martin Luther in the circle of reformers,1626-01-01,1650-12-31,2/23/2016,3,1,1,HIS329441,https://www.bridgemanimages.com/fr/asset/329441/german-school-17th-century/martin-luther-in-the-circle-of-reformers-1625-50-oil-on-panel,,DEU,Germany,deutsches historisches museum,,,,imgs/1626_DEU__1259.jpg,gaumy
1260,unknown,burning of Jan Hus,1483-01-01,1483-12-31,2/23/2016,1,5,2,CHT884640,https://www.bridgemanimages.com/fr/asset/884640/richental-ulrich-von-c-1360-1437/jan-hus-burnt-at-the-stake-at-the-council-of-constance-from-history-of-the-council-of-constance-published-1483-engravin,,DEU,Germany,Paris / Bibliothèque polonaise,,,https://www.bridgemanimages.com/fr/asset/884640/richental-ulrich-von-c-1360-1437/jan-hus-burnt-at-the-stake-at-the-council-of-constance-from-history-of-the-council-of-constance-published-1483-engraving,imgs/1483_DEU__1260.jpg,gaumy
1261,netherlandish school,Spanish reprisals after the surrender of Haarlem in 1573,1600-01-01,1700-12-31,2/23/2016,1,1,3,XJF400675,https://www.bridgemanimages.com/fr/asset/400675/netherlandish-school-17th-century/spanish-reprisals-after-the-surrender-of-haarlem-in-1573-engraving,,NLD,Netherlands,private collection,,,,imgs/1600_NLD__1261.jpg,gaumy
1262,Unknown,Dutch anti-Spanish rebels captured Brielle and the Dutch rebellion resurged,1754-01-01,1754-12-31,2/23/2016,1,1,13,UIG1577705,https://www.bridgemanimages.com/fr/asset/1577705//dutch-anti-spanish-rebels-captured-brielle-and-the-dutch-rebellion-resurged,,NLD,unknown,,,,,imgs/1754_NLD__1262.jpg,gaumy
1263,french school,Mazarinade,1651-01-01,1651-12-31,2/23/2016,1,1,6,TAD1761643,https://www.bridgemanimages.com/fr/asset/1761643//fronde-france-1648-1651-a-mazarinade-1651-jules-mazarin-banished-by-justice-and-fronde-is-leaving-the-king-louis-xiv-he-s-fleeing-from-paris-he-s-rele,,FRA,France,,,,https://www.bridgemanimages.com/fr/asset/1761643//fronde-france-1648-1651-a-mazarinade-1651-jules-mazarin-banished-by-justice-and-fronde-is-leaving-the-king-louis-xiv-he-s-fleeing-from-paris-he-s-releasing-princes-at-le-havre-and-he-s-loosing-money-during-escape-while-standing-in-front-of-him-is-the-ghost-of-concini-wood-engraving,imgs/1651_FRA__1263.jpg,gaumy
1264,netherlandish school,Peasants' revolt of Wat Tyler in 1381. Meeting between Tyler and the revolutionary priest John Ball,1460-01-01,1480-12-31,2/23/2016,2,5,6,BL53291roy 18 E I F. 165v,https://www.bridgemanimages.com/fr/asset/53291,,GBR,Netherlands,British Library,,,,imgs/1460_GBR__1264.jpg,gaumy
1265,french school,King Louis XIV coming back in Paris after the Fronde on october 21 / 1652 / welcomed by municipal magi,1650-01-01,1700-12-31,2/23/2016,1,1,6,TAD1754689,https://www.bridgemanimages.com/fr/asset/1754689//king-of-france-louis-xiv-1638-1715-king-from-1643-to-1715-coming-back-in-paris-after-the-fronde-on-october-21-1652-he-s-welcome-by-municipal-magistrat,,FRA,France,,,,,imgs/1650_FRA__1265.jpg,gaumy
1266,french school,the Grande Mademoiselle (Anne Marie Louise d'Orleans) knocking down Mazarin outside Orléans,1650-01-01,1700-12-31,2/23/2016,1,1,6,TAD1761642,https://www.bridgemanimages.com/fr/asset/1761642//the-fronde-in-france-1648-1651-the-grande-mademoiselle-anne-marie-louise-d-orleans-knocking-down-cardinal-jules-mazarin-outside-orleans-march-17-1652-,,FRA,France,,,,https://www.bridgemanimages.com/fr/asset/1761642//the-fronde-in-france-1648-1651-the-grande-mademoiselle-anne-marie-louise-d-orleans-knocking-down-cardinal-jules-mazarin-outside-orleans-march-17-1652-behing-her-are-countess-de-fiesque-l-and-madame-de-frontenac-r-engraving,imgs/1650_FRA__1266.jpg,gaumy
1267,German School,Guy Fawkes and associates,1606-01-01,1606-12-31,2/24/2016,1,1,2,LAM234055,https://www.bridgemanimages.com/fr/asset/234055/german-school-17th-century/guy-fawkes-and-associates-from-verratheren-in-england-1606-engraving,,DEU,Germany,Londres / Lambeth Palace Library,,,,imgs/1606_DEU__1267.jpg,gaumy
1268,English school,a great and Bloudy fight at Colchester,1648-01-01,1648-12-31,2/24/2016,1,1,5,XJF347921,https://www.bridgemanimages.com/fr/asset/347921/english-school-17th-century/a-great-and-bloudy-fight-at-colchester-printed-in-1648-woodcut,,GBR,England,Private collection,,,,imgs/1648_GBR__1268.jpg,gaumy
1269,french school,Murder of Simon Sudbury,1470-01-01,1480-12-31,2/24/2016,2,5,6,BL781314,https://www.bridgemanimages.com/fr/asset/781314/french-school-15th-century/murder-of-simon-sudbury-illustration-from-chroniques-de-france-et-d-angleterre-c-1470-vellum,,FRA,France,British Library,,,,imgs/1470_FRA__1269.jpg,gaumy
